epoch,low_loss,low_val_loss,med_loss,med_val_loss,high_loss,high_val_loss
1,0.1457148790359497,0.06329363584518433,0.16376742720603943,0.06809458881616592,0.19599997997283936,0.08864785730838776
2,0.03533877804875374,0.05953187495470047,0.050910621881484985,0.05475829914212227,0.0815444216132164,0.05933762341737747
3,0.012291568331420422,0.06942689418792725,0.026504898443818092,0.060737140476703644,0.05617386847734451,0.0550680011510849
4,0.004251999314874411,0.08106660842895508,0.015746720135211945,0.06692862510681152,0.0423530638217926,0.05635559931397438
5,0.0017351501155644655,0.09074391424655914,0.010540676303207874,0.07329057157039642,0.03430207818746567,0.05819639936089516
6,0.0008825941476970911,0.09788736701011658,0.007280750200152397,0.08064060658216476,0.02883029356598854,0.06180969625711441
7,0.0004935606848448515,0.10509909689426422,0.005660288501530886,0.0912417322397232,0.024735653772950172,0.06363878399133682
8,0.0002360406651860103,0.11164648085832596,0.004677119664847851,0.09341009706258774,0.02142507955431938,0.06800506263971329
9,0.00021631001436617225,0.11614808440208435,0.0039023233111947775,0.09964831173419952,0.01930234767496586,0.07207068800926208
10,0.00017313926946371794,0.121119424700737,0.0033854106441140175,0.10139626264572144,0.01730087399482727,0.07363194972276688
11,0.00013279322593007237,0.12603485584259033,0.002999704098328948,0.11019747704267502,0.016090601682662964,0.07549252361059189
12,0.0003907018108293414,0.1281690150499344,0.0024738009087741375,0.11482889205217361,0.014388448558747768,0.07996688783168793
13,0.0014329731930047274,0.13078196346759796,0.0025647331494838,0.11335760354995728,0.013378447853028774,0.08288860321044922
14,0.0034761829301714897,0.12682147324085236,0.0024026213213801384,0.12150194495916367,0.012887793593108654,0.08475738018751144
15,0.0011609825305640697,0.1403432935476303,0.0021363995037972927,0.12390244007110596,0.012113082222640514,0.08865714818239212
