factor,precision,recall,f1-score
0.02,0.29635079458505004,0.15167745732783988,0.19508254155105245
0.04,0.5205840036622851,0.34555784448368315,0.39980941169875833
0.06,0.7046138251258911,0.5445114773396115,0.5940151536384615
0.08,0.7927048590674253,0.6579899941141848,0.6981513401907752
0.10,0.8622474004316264,0.7516333137139494,0.7838803404430243
0.12,0.8681168661304036,0.7732963834935583,0.7986651811990246
0.14,0.8838368975214177,0.7989896017265058,0.8206926109663013
0.16,0.8874991825256686,0.8109688705774638,0.8295790240757869
0.18,0.8873111634294684,0.8097148649532405,0.828616272877603
0.2,0.890687332417762,0.8259678896082663,0.8391222194194531
0.3,0.8912186907331109,0.8339562487737885,0.8439100497958649
0.4,0.8921342619841738,0.828214309070695,0.8409512598447265
0.5,0.8886109476162448,0.8414148845726244,0.847060829432813
0.6,0.8925021254332614,0.8395968216597999,0.8475374558953134
0.7,0.8934258714276372,0.8402540710221699,0.8487866345282472
0.8,0.8919544176312865,0.8370463017461252,0.846334133679631
0.9,0.890245896278857,0.8395297887646329,0.8464883638368039
1.0,0.8893630240010463,0.8362942253613237,0.844665863206181
1.1,0.8899516055195866,0.8436400497024394,0.8489840740429321
1.2,0.8893384997711073,0.8423844091295533,0.8472999990657436
1.3,0.8885618991563665,0.8440013733568766,0.8483785202001798
1.4,0.8869187757504414,0.8484010202079654,0.8498885899268477
